"Statistiche Fantacalcio 2019-20 ",,,,,,,,,,,,,,,,
Id,R,Nome,Squadra,Pg,Mv,Mf,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
270,C,KONDOGBIA,Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0
271,C,KOVACIC,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
274,C,SHAQIRI,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0
277,A,ICARDI,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
282,P,BUFFON,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
283,P,NETO,Barcellona,0,0,0,0,0,0,0,0,0,0,0,0,0
286,D,BONUCCI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
288,D,CHIELLINI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
294,D,RUGANI,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
295,D,ASAMOAH,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
299,C,KHEDIRA,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
302,C,PEREYRA,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0
303,C,POGBA,"Manchester United",0,0,0,0,0,0,0,0,0,0,0,0,0
307,C,COMAN,"Bayern Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0
309,A,DYBALA,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
311,A,LLORENTE,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
312,A,MANDZUKIC,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
313,A,MORATA,"Atletico Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
322,D,"DE VRIJ",Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
329,D,RADU,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
331,C,BIGLIA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
332,C,CANDREVA,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0
333,C,CATALDI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
335,C,"FELIPE ANDERSON","West Ham",0,0,0,0,0,0,0,0,0,0,0,0,0
338,C,LULIC,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
342,C,PAROLO,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
350,P,"DONNARUMMA G.",Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
357,D,CALABRIA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
358,D,"DE SCIGLIO",Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
367,C,BONAVENTURA,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
375,C,SUSO,Siviglia,0,0,0,0,0,0,0,0,0,0,0,0,0
376,C,VERDI,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
387,P,REINA,"Aston Villa",0,0,0,0,0,0,0,0,0,0,0,0,0
390,D,GHOULAM,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
392,D,KOULIBALY,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
397,C,ALLAN,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
404,C,JORGINHO,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
406,C,CALLEJON,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
408,A,HIGUAIN,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
409,A,INSIGNE,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
410,A,MERTENS,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
417,D,"EMERSON P.",Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0
441,A,BELOTTI,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0
449,C,VAZQUEZ,Siviglia,0,0,0,0,0,0,0,0,0,0,0,0,0
453,P,SZCZESNY,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
459,D,MANOLAS,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
460,D,ROMAGNOLI,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
464,D,FLORENZI,Valencia,0,0,0,0,0,0,0,0,0,0,0,0,0
467,C,NAINGGOLAN,Cagliari,0,0,0,0,0,0,0,0,0,0,0,0,0
468,C,PAREDES,"Paris Saint-Germain",0,0,0,0,0,0,0,0,0,0,0,0,0
469,C,PJANIC,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0
470,C,STROOTMAN,"Olympique Marsiglia",0,0,0,0,0,0,0,0,0,0,0,0,0
474,A,GERVINHO,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
475,A,"IAGO FALQUE",Genoa,0,0,0,0,0,0,0,0,0,0,0,0,0
495,A,CORREA,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
507,A,MURIEL,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
513,D,ACERBI,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
523,D,VRSALJKO,"Atletico Madrid",0,0,0,0,0,0,0,0,0,0,0,0,0
530,C,"PELLEGRINI LO.",Roma,0,0,0,0,0,0,0,0,0,0,0,0,0
