5502,P,ADAMONIS,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
5518,P,MARFELLA,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0
5528,P,ZOVKO,Spezia,1,5.5,3.5,0,2,0,0,0,0,0,0,0,0
5682,P,MOLLA,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
5704,P,RUSSO,Salernitana,0,0,0,0,0,0,0,0,0,0,0,0,0
5707,P,PIANA,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
5822,P,BAGNOLINI,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
5832,P,"LUIS MAXIMIANO",Lazio,1,4,3,0,0,0,0,0,0,0,0,1,0
5853,P,"SORRENTINO A.",Monza,0,0,0,0,0,0,0,0,0,0,0,0,0
5887,P,CIEZKOWSKI,Cremonese,0,0,0,0,0,0,0,0,0,0,0,0,0
5889,P,MICAI,Salernitana,0,0,0,0,0,0,0,0,0,0,0,0,0
5890,P,"CHIESA M.",Verona,0,0,0,0,0,0,0,0,0,0,0,0,0
6029,P,SARO,Cremonese,0,0,0,0,0,0,0,0,0,0,0,0,0
6125,P,"VASQUEZ D.",Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
6184,P,"MARTINELLI T.",Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
5877,D,"CARLOS AUGUSTO",Monza,35,6.16,6.76,6,0,0,0,0,0,5,4,0,0
254,D,DIMARCO,Inter,33,6.21,6.7,4,0,0,0,0,0,4,0,0,0
6066,D,POSCH,Bologna,30,6.12,6.68,6,0,0,0,0,0,2,6,0,0
2816,D,"DI LORENZO",Napoli,37,6.26,6.58,3,0,0,0,0,0,4,2,0,0
554,D,ZAPPACOSTA,Atalanta,21,6.12,6.64,4,0,0,0,0,0,1,4,0,0
4237,D,DANILO,Juventus,37,6.2,6.46,3,0,0,0,0,0,3,5,0,0
4245,D,SMALLING,Roma,32,6.31,6.52,3,0,0,0,0,0,1,7,0,0
4998,D,"MOLINA N.",Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0
5892,D,KIM,Napoli,35,6.27,6.43,2,0,0,0,0,0,2,5,0,0
460,D,ROMAGNOLI,Lazio,34,6.21,6.29,2,0,0,0,0,0,0,6,0,0
4292,D,"HERNANDEZ T.",Milan,32,6.11,6.41,4,0,0,1,1,0,3,7,0,1
5355,D,UDOGIE,Udinese,32,6.08,6.41,3,0,0,0,0,0,4,5,0,0
5480,D,EBUEHI,Empoli,25,6.06,6.46,2,0,0,0,0,0,4,0,0,0
5481,D,MAZZOCCHI,Salernitana,27,6.17,6.46,2,0,0,0,0,0,3,2,0,0
5862,D,VALERI,Cremonese,37,6.08,6.31,2,0,0,0,0,0,4,3,0,0
4409,D,RRAHMANI,Napoli,28,6.14,6.36,2,0,0,0,0,0,1,2,0,0
5527,D,ZANOLI,Sampdoria,20,6,6.32,2,0,0,0,0,0,2,3,0,0
5851,D,DOIG,Verona,21,6.07,6.52,2,0,0,0,0,0,4,1,0,0
2160,D,GOSENS,Inter,25,5.96,6.3,3,0,0,0,0,0,0,2,0,0
2724,D,BUONGIORNO,Torino,34,6.12,6.15,1,0,0,0,0,0,2,8,0,0
2788,D,BREMER,Juventus,30,6.05,6.35,4,0,0,0,0,0,0,6,0,0
5835,D,BASCHIROTTO,Lecce,37,6.07,6.23,3,0,0,0,0,0,0,6,0,0
6041,D,SCHUURS,Torino,29,6.21,6.19,0,0,0,0,0,0,2,5,0,0
1852,D,SPINAZZOLA,Roma,26,6.04,6.25,1,0,0,0,0,0,4,3,0,0
2296,D,MANCINI,Roma,35,6.11,6.16,1,0,0,0,0,0,2,7,0,0
4751,D,TOMORI,Milan,33,6.08,6.09,1,0,0,0,0,0,0,5,0,0
5449,D,PARISI,Empoli,33,6.14,6.14,2,0,0,0,0,0,0,10,1,0
5840,D,OLIVERA,Napoli,24,6.02,6.27,2,0,0,0,0,0,1,2,0,0
140,D,HYSAJ,Lazio,30,5.97,6.05,1,0,0,0,0,0,1,3,0,0
252,D,BIRAGHI,Fiorentina,32,6.05,6.19,2,0,0,1,0,1,4,1,0,1
393,D,LUPERTO,Empoli,36,5.93,6.01,2,0,0,0,0,0,0,2,2,0
695,D,TOLOI,Atalanta,32,5.98,6.05,2,0,0,0,0,0,0,8,0,0
2120,D,BASTONI,Inter,29,6.12,6.14,0,0,0,0,0,0,2,3,0,0
2141,D,DEPAOLI,Verona,33,5.95,6.05,2,0,0,0,0,0,1,8,0,0
2525,D,DARMIAN,Inter,27,6.06,6.19,1,0,0,0,0,0,2,3,0,0
4421,D,AUGELLO,Sampdoria,37,5.84,6.09,2,0,0,0,0,0,5,3,0,0
5332,D,"BASTONI S.",Spezia,18,6.14,6.5,2,0,0,0,0,0,4,7,0,0
5375,D,MAEHLE,Atalanta,30,5.93,6.18,3,0,0,0,0,0,2,5,1,0
5498,D,CASALE,Lazio,29,6,6.03,1,0,0,0,0,0,1,6,0,0
5513,D,DUMFRIES,Inter,34,5.91,6,1,0,0,0,0,0,4,4,0,1
5526,D,SCALVINI,Atalanta,32,5.95,6.03,2,0,0,0,0,0,0,7,0,0
5675,D,THEATE,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0
5677,D,"PEREZ N.",Udinese,33,6.02,6,2,0,0,0,0,0,0,7,1,1
5847,D,BIJOL,Udinese,32,5.88,6.03,3,0,0,0,0,0,1,10,0,0
142,D,"MARIO RUI",Napoli,22,6.11,6.25,0,0,0,0,0,0,5,2,1,0
513,D,ACERBI,Inter,31,6,5.97,0,0,0,0,0,0,1,4,0,0
