Id,Mv2,Mf2
4,6.029999999999999,4.665
11,5.8100000000000005,5.789999999999999
15,5.865,5.755
20,5.955,5.855
21,5.79,5.945
22,6.025,6.11
26,6.515000000000001,7.385
27,5.895,5.9350000000000005
28,6.04,6.455
40,3.0,2.5
41,6.555,5.92
45,5.6899999999999995,5.52
50,5.75,5.8100000000000005
54,5.635,5.55
57,2.895,2.785
58,5.895,5.835
60,0.0,0.0
73,5.925,5.965
81,2.705,2.705
90,5.885,6.529999999999999
97,5.5,2.0
99,5.865,5.83
106,5.824999999999999,5.875
111,5.73,5.845
112,5.93,6.275
118,5.904999999999999,5.795
123,5.915,6.74
126,5.595000000000001,5.725
133,6.045,4.465
140,5.8,5.895
141,5.77,5.695
142,5.85,5.82
144,5.875,5.715
148,5.97,6.195
150,5.98,6.42
152,6.055,6.390000000000001
159,6.18,4.695
169,5.6,5.62
170,5.68,5.675
172,6.055,6.1850000000000005
173,2.9,2.725
177,6.51,8.04
181,5.88,6.13
183,5.83,6.3100000000000005
184,5.82,5.96
216,0.0,0.0
218,5.970000000000001,4.585
224,5.915,5.914999999999999
226,6.02,6.13
234,5.93,6.5600000000000005
235,5.710000000000001,5.66
236,6.050000000000001,6.415
237,6.140000000000001,7.135
238,5.925,5.945
244,5.77,5.89
245,6.115,6.835
247,5.859999999999999,6.58
248,0.0,0.0
250,6.23,5.37
252,5.945,6.23
253,6.0600000000000005,6.43
254,5.925000000000001,5.945
256,5.404999999999999,5.21
261,6.07,5.715
262,5.705,5.6899999999999995
264,2.9,2.915
265,6.130000000000001,6.3
277,2.95,3.535
280,6.08,6.62
286,5.995,6.1899999999999995
287,5.77,5.715
288,6.275,6.705
294,5.665,5.76
295,6.140000000000001,6.140000000000001
299,5.915,6.195
305,5.575,5.79
306,5.59,5.715
309,6.375,7.265
312,3.13,3.75
315,5.8,6.324999999999999
316,6.1850000000000005,4.615
317,2.5,1.0
318,2.81,1.5
322,6.135,6.345000000000001
327,5.75,5.6850000000000005
329,5.795,5.755000000000001
331,5.66,5.655
332,6.09,6.555
333,6.055,6.390000000000001
338,5.859999999999999,5.984999999999999
342,5.925,6.09
350,6.24,5.375
357,5.82,5.87
358,6.025,5.99
365,5.93,5.83
366,2.875,2.8
367,6.145,6.975
374,5.975,6.23
375,5.970000000000001,6.45
376,5.875,6.365
380,5.72,5.715
383,6.015000000000001,7.02
385,3.075,1.985
386,3.0,3.0
387,6.0600000000000005,6.4399999999999995
390,5.970000000000001,6.135
392,6.029999999999999,5.92
393,5.5649999999999995,5.495
395,0.0,0.0
397,6.0600000000000005,6.234999999999999
405,5.779999999999999,5.775
406,6.105,6.665
407,6.0,6.845000000000001
408,6.045,6.94
409,6.13,7.0
410,6.28,7.59
418,5.595,5.66
433,2.785,2.885
438,2.775,2.85
441,6.16,7.3149999999999995
447,5.76,5.98
453,6.140000000000001,5.31
459,6.025,6.245
460,6.130000000000001,6.154999999999999
464,5.99,6.07
467,6.3,7.045
469,6.16,6.4399999999999995
472,5.890000000000001,6.5
474,6.055,6.97
475,6.109999999999999,6.695
479,5.88,6.5
487,5.82,5.95
490,5.865,5.865
