2610;A;RONALDO;Juventus;49;48;1
785;A;IMMOBILE;Lazio;45;49;-4
2531;A;LUKAKU;Inter;42;42;0
608;A;ZAPATA D.;Atalanta;40;40;0
2819;A;CAPUTO;Sassuolo;36;34;2
2530;A;IBRAHIMOVIC;Milan;35;35;0
26;C;GOMEZ;Atalanta;32;28;4
2764;A;MARTINEZ L.;Inter;32;30;2
309;A;DYBALA;Juventus;30;31;-1
441;A;BELOTTI;Torino;30;29;1
647;A;DZEKO;Roma;29;31;-2
531;A;BERARDI;Sassuolo;29;27;2
507;A;MURIEL;Atalanta;28;27;1
410;A;MERTENS;Napoli;27;25;2
2160;D;GOSENS;Atalanta;26;24;2
2833;C;KULUSEVSKI;Juventus;26;26;0
1874;A;JOAO PEDRO;Cagliari;26;25;1
186;A;REBIC;Milan;26;27;-1
177;A;ILICIC;Atalanta;25;27;-2
2002;C;CHIESA;Juventus;24;23;1
2085;C;LUIS ALBERTO;Lazio;24;25;-1
2194;C;CALHANOGLU;Milan;24;24;0
2475;A;SANCHEZ;Inter;24;24;0
409;A;INSIGNE;Napoli;24;23;1
4661;A;OSIMHEN;Napoli;24;24;0
2529;C;MKHITARYAN;Roma;23;24;-1
2012;A;MILIK;Napoli;23;24;-1
313;A;MORATA;Juventus;23;24;-1
4292;D;HERNANDEZ T.;Milan;22;21;1
2719;A;BARROW;Bologna;22;23;-1
568;A;QUAGLIARELLA;Sampdoria;22;20;2
4160;D;HAKIMI;Inter;21;20;1
467;C;NAINGGOLAN;Inter;21;22;-1
495;A;CORREA;Lazio;21;23;-2
645;C;MILINKOVIC-SAVIC;Lazio;20;19;1
1996;C;DE PAUL;Udinese;20;20;0
2832;A;BOGA;Sassuolo;20;22;-2
2414;C;VIDAL;Inter;19;19;0
2061;A;SIMEONE;Cagliari;19;20;-1
4427;C;MALINOVSKYI;Atalanta;18;17;1
2077;C;PASALIC;Atalanta;18;17;1
2409;A;RIBERY;Fiorentina;18;18;0
2841;A;VLAHOVIC;Fiorentina;18;18;0
453;P;SZCZESNY;Juventus;17;17;0
350;P;DONNARUMMA G.;Milan;17;16;1
4377;C;CASTROVILLI;Fiorentina;17;15;2
2215;C;VERETOUT;Roma;17;15;2
2284;A;CAICEDO;Lazio;17;17;0
2489;A;PEDRO;Roma;17;16;1
250;P;HANDANOVIC;Inter;16;18;-2
2556;C;ERIKSEN;Inter;16;17;-1
2766;C;ZANIOLO;Roma;16;17;-1
2287;C;RAMIREZ;Sampdoria;16;16;0
5001;C;MIRANCHUK;Atalanta;16;17;-1
2762;A;KOUAME';Fiorentina;16;16;0
407;A;GABBIADINI;Sampdoria;16;17;-1
322;D;DE VRIJ;Inter;15;15;0
513;D;ACERBI;Lazio;15;15;0
392;D;KOULIBALY;Napoli;15;14;1
2625;C;SORIANO;Bologna;15;13;2
4285;C;ARTHUR;Juventus;15;15;0
530;C;PELLEGRINI LO.;Roma;15;15;0
2167;A;ORSOLINI;Bologna;15;16;-1
1939;A;LAPADULA;Benevento;15;14;1
4510;A;RAFAEL LEAO;Milan;15;14;1
90;A;LASAGNA;Udinese;15;17;-2
1934;P;STRAKOSHA;Lazio;14;15;-1
2130;D;HATEBOER;Atalanta;14;11;3
2164;D;MILENKOVIC;Fiorentina;14;14;0
286;D;BONUCCI;Juventus;14;13;1
4428;D;DE LIGT;Juventus;14;15;-1
459;D;MANOLAS;Napoli;14;13;1
