Id,R,Nome,Squadra,Pg,Gf,Gs,Ass,Amm,Esp,Mv,Mf,Mv2,Mf2,Mv3,Mf3,Mv4,Mf4,Mv5,Mf5,Hmf
2648,C,MACHACH,Napoli,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2653,D,LYKOGIANNIS,Cagliari,20,0,0,1,4,0,5.68,5.63,5.52,5.52,5.58,5.64,0.0,0.0,0.0,0.0,5.64
2657,A,ANTONUCCI,Roma,2,0,0,0,1,0,5.5,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2659,C,DABO,SPAL,16,1,0,3,4,0,5.66,5.91,5.78,5.98,5.82,6.01,0.0,0.0,0.0,0.0,6.01
2664,D,EL YAMIQ,Genoa,3,0,0,0,1,0,5.17,5.0,2.58,2.5,3.6,3.54,0.0,0.0,0.0,0.0,3.54
2692,C,CASTILLEJO,Milan,22,2,0,3,3,0,6.22,6.64,6.1,6.6,0.0,0.0,0.0,0.0,0.0,0.0,6.6
2707,D,YOUNG,Inter,18,4,0,4,1,0,6.16,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2719,A,BARROW,Bologna,25,9,0,5,1,0,6.22,7.36,6.04,6.7,6.13,6.94,0.0,0.0,0.0,0.0,6.94
2724,D,BUONGIORNO,Torino,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2726,C,DANZI,Verona,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2728,D,PELLEGRINI LU.,Cagliari,24,0,0,5,10,0,5.92,5.92,5.85,5.82,3.9,3.88,0.0,0.0,0.0,0.0,3.88
2732,A,STIJEPOVIC,Sampdoria,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2739,D,RECA,SPAL,25,0,0,2,2,0,5.66,5.7,6.08,6.1,0.0,0.0,0.0,0.0,0.0,0.0,6.1
2740,D,VARNIER,Atalanta,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2741,C,PESSINA,Verona,35,7,0,0,7,0,6.01,6.51,6.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,6.36
2742,C,VALZANIA,Atalanta,0,0,0,0,0,0,0.0,0.0,2.98,3.15,0.0,0.0,0.0,0.0,0.0,0.0,3.15
2743,A,SANTANDER,Bologna,24,1,0,0,6,0,5.84,5.84,5.96,6.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4
2744,C,SVANBERG,Bologna,25,1,0,1,2,0,5.92,6.08,5.84,5.94,0.0,0.0,0.0,0.0,0.0,0.0,5.94
2745,D,CALABRESI,Bologna,0,0,0,0,0,0,0.0,0.0,2.87,2.84,0.0,0.0,0.0,0.0,0.0,0.0,2.84
2746,D,DIJKS,Bologna,13,0,0,0,5,0,5.69,5.5,5.77,5.66,0.0,0.0,0.0,0.0,0.0,0.0,5.66
2747,D,PAZ,Lecce,16,0,0,1,5,0,5.69,5.58,5.47,5.29,0.0,0.0,0.0,0.0,0.0,0.0,5.29
2752,D,RASMUSSEN,Fiorentina,0,0,0,0,0,0,0.0,0.0,2.71,2.69,0.0,0.0,0.0,0.0,0.0,0.0,2.69
2754,D,HANCKO,Fiorentina,0,0,0,0,0,0,0.0,0.0,2.88,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2756,A,PIATEK,Milan,18,4,0,0,1,0,5.67,6.31,5.98,7.16,0.0,0.0,0.0,0.0,0.0,0.0,7.16
2758,D,GUNTER,Verona,32,0,0,0,7,0,5.9,5.79,5.89,5.81,0.0,0.0,0.0,0.0,0.0,0.0,5.81
2759,D,CRISCITO,Genoa,26,8,0,0,7,0,5.98,6.56,6.02,6.35,0.0,0.0,0.0,0.0,0.0,0.0,6.35
2760,C,CALLEGARI,Genoa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,P,VODISEK,Genoa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2762,A,KOUAME',Fiorentina,18,6,0,3,1,0,6.19,7.33,6.12,6.88,0.0,0.0,0.0,0.0,0.0,0.0,6.88
2764,A,MARTINEZ L.,Inter,35,14,0,3,7,1,6.13,7.2,6.12,7.04,0.0,0.0,0.0,0.0,0.0,0.0,7.04
2766,C,ZANIOLO,Roma,26,6,0,2,8,0,6.12,6.76,6.1,6.61,0.0,0.0,0.0,0.0,0.0,0.0,6.61
2769,D,MAGNANI,Sassuolo,10,1,0,0,3,0,5.67,5.92,5.78,5.9,0.0,0.0,0.0,0.0,0.0,0.0,5.9
2770,P,PROTO,Lazio,0,0,0,0,0,0,0.0,0.0,3.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
