61;C;ZUCULINI F;Bologna;1;6;6;0;0;0;0;0;0;0;0;0;0;0
62;A;ACQUAFRESCA;Bologna;6;5,25;5,25;0;0;0;0;0;0;0;0;0;0;0
63;A;BIANCHI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;A;CACIA;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;A;MANCOSU;Carpi;21;5,71;6;1;0;0;1;1;0;0;0;2;0;0
66;A;PAPONI;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;A;YAISIEN;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;P;BENUSSI;Carpi;4;5,75;5;0;3;0;0;0;0;0;0;0;0;0
69;P;BRKIC;Carpi;4;5,12;2,12;0;12;0;0;0;0;0;0;0;0;0
70;P;MURANO;Carpi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;D;BUBNJIC;Carpi;9;5,17;5,11;0;0;0;0;0;0;0;0;1;0;0
72;D;FRANCHINI;Carpi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;D;GAGLIOLO;Carpi;31;5,84;5,73;1;0;0;0;0;0;0;0;11;1;0
74;D;LETIZIA;Carpi;35;6,02;6,03;1;0;0;0;0;0;0;0;5;0;0
75;D;POLI F;Carpi;10;5,85;5,6;0;0;0;0;0;0;0;0;5;0;0
76;D;ROMAGNOLI S;Carpi;30;5,87;5,78;0;0;0;0;0;0;0;0;5;0;0
77;D;SARZI;Carpi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;D;SPOLLI;Chievo;14;5,79;5,54;0;0;0;0;0;0;0;0;5;1;0
79;D;WALLACE O;Carpi;6;5,7;5,6;0;0;0;0;0;0;0;0;1;0;0
80;C;BIANCO;Carpi;26;5,96;6,02;1;0;0;0;0;0;2;0;5;1;0
81;C;DI GAUDIO;Carpi;29;6,09;6,5;3;0;0;0;0;0;3;0;2;0;0
82;C;LAZZARI;Carpi;8;5,6;5,6;1;0;0;1;0;1;0;0;1;0;0
83;C;LOLLO;Carpi;27;5,81;5,92;3;0;0;0;0;0;1;0;10;2;0
84;C;MARRONE;Verona;21;5,74;5,86;1;0;0;0;0;0;0;3;7;0;0
85;C;MARTINHO;Carpi;11;5,8;5,65;0;0;0;0;0;0;0;0;3;0;0
86;C;PASCIUTI;Carpi;21;6,03;6,34;2;0;0;0;0;0;2;1;4;1;0
87;C;PORCARI;Carpi;4;5,5;5,38;0;0;0;0;0;0;0;0;1;0;0
88;C;PUGLIESE;Carpi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;C;SABBIONE;Carpi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;A;LASAGNA;Carpi;36;6,01;6,47;5;0;0;0;0;0;1;0;1;0;0
91;A;LOI;Carpi;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;A;MATOS;Udinese;26;5,9;6,06;2;0;0;1;0;1;2;0;2;0;0
93;A;MBAKOGU;Carpi;24;5,73;5,77;1;0;0;3;1;2;2;0;2;0;0
94;A;WILCZEK;Carpi;3;5,67;5,67;0;0;0;0;0;0;0;0;0;0;0
95;P;BIZZARRI;Chievo;35;6,19;5,1;0;43;2;0;0;0;0;0;2;0;0
96;P;BRESSAN;Chievo;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;P;SECULIN;Chievo;3;6,67;6;0;2;0;0;0;0;0;0;0;0;0
98;P;VIOTTI;Chievo;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;D;CACCIATORE;Chievo;29;5,89;6;1;0;0;0;0;0;3;0;6;0;0
100;D;CESAR;Chievo;31;5,97;5,89;1;0;0;0;0;0;0;0;9;1;0
101;D;DAINELLI;Chievo;18;5,92;5,94;1;0;0;0;0;0;0;0;5;0;0
102;D;EDIMAR;Chievo;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;D;FREY;Chievo;19;5,53;5,33;0;0;0;0;0;0;0;0;3;0;1
104;D;GAMBERINI;Chievo;22;5,98;5,91;0;0;0;0;0;0;1;0;1;0;1
