Id,Mv4,Mf4
4,5.9375,4.55
11,6.01,6.14
15,6.04,6.095
20,5.8149999999999995,5.66
21,5.9175,6.0825
26,6.5475,7.4625
27,5.9525,6.075
28,5.9575,6.3100000000000005
40,4.72,3.7575000000000003
41,6.2749999999999995,5.23
45,5.615,5.535
50,5.755,5.665
54,5.77,5.682499999999999
57,4.3475,4.182499999999999
58,6.0175,6.045
60,2.875,3.025
97,4.25,1.9375
99,5.8925,5.9025
106,4.35,4.3375
111,5.902500000000001,6.18
112,5.9675,6.3325000000000005
118,5.8999999999999995,5.8075
123,5.945,6.822500000000001
126,5.515000000000001,5.6525
133,6.23,5.105
140,5.845,5.84
141,5.7775,5.7
142,5.94,5.9475
144,5.949999999999999,6.470000000000001
150,5.9475,6.2924999999999995
152,6.1625,6.515000000000001
159,4.59,3.8475
169,5.6499999999999995,5.562500000000001
170,5.8374999999999995,5.855
172,6.04,6.142500000000001
173,4.31,4.265
177,6.365,7.522499999999999
181,5.927499999999999,6.157500000000001
183,5.955,6.7250000000000005
184,6.0225,6.55
218,6.0575,4.7875
224,5.85,5.8325
226,5.9925,6.022500000000001
235,5.852500000000001,5.9125000000000005
236,5.95,6.16
237,6.1625000000000005,7.0025
238,5.945,5.9075
245,5.94,6.534999999999999
247,5.869999999999999,6.602500000000001
248,0.0,0.0
250,6.260000000000001,5.297499999999999
252,5.8575,5.985
253,6.0475,6.3325000000000005
256,5.635,5.465
261,6.0575,5.92
262,5.7275,5.6899999999999995
264,2.915,3.0075000000000003
265,6.045,6.3774999999999995
277,4.605,6.0175
280,6.005,6.3525
286,6.015,6.1925
288,6.2775,6.5425
294,5.955,6.1425
295,6.1450000000000005,6.1000000000000005
299,6.025,6.5525
305,5.7075,5.765
309,6.4825,7.7275
312,4.63,5.1775
316,6.1725,4.8774999999999995
318,2.9050000000000002,2.0149999999999997
322,6.182499999999999,6.4475
327,5.9225,5.89
329,5.827500000000001,5.79
331,5.86,5.89
332,6.0425,6.41
333,5.9075,6.074999999999999
338,5.945,6.1025
342,5.965,6.2375
350,6.23,5.2275
357,5.945,6.0025
358,6.0875,6.1000000000000005
365,6.0175,6.0024999999999995
366,4.4025,4.385
367,6.209999999999999,6.925
374,5.9975,6.115
375,6.092499999999999,6.615
376,6.034999999999999,6.7275
380,5.7425,6.0
383,6.025,6.737499999999999
385,2.955,1.7850000000000001
386,3.125,2.875
387,6.062500000000001,5.8149999999999995
390,6.1625,6.4350000000000005
392,6.159999999999999,6.2225
395,2.9875,2.975
397,6.115,6.32
405,5.772499999999999,5.7299999999999995
406,6.1825,6.9925
408,6.1675,7.415
409,6.325,7.334999999999999
410,6.4025,7.995
418,5.7025,5.702500000000001
433,4.2700000000000005,4.415
438,4.335,4.455
441,6.202500000000001,7.4575
453,6.18,5.422499999999999
459,6.112500000000001,6.2725
460,6.102500000000001,6.129999999999999
464,6.0225,6.0525
467,6.33,7.0625
469,6.1875,6.5825
472,5.824999999999999,6.555
475,6.135,6.9625
487,5.8625,6.07
490,5.8125,5.775
491,5.6425,5.535
493,5.845,5.727499999999999
494,5.805000000000001,5.852500000000001
509,6.1175,4.6175
510,6.03,3.83
513,6.1525,6.2825
517,5.905,5.9675
519,4.3025,4.29
521,5.760000000000001,5.705
526,5.919999999999999,6.135
528,6.04,5.96
529,5.875,5.82
530,6.1225,6.470000000000001
531,6.119999999999999,6.7524999999999995
532,4.3725000000000005,4.7075000000000005
533,5.76,6.07
536,6.0925,6.6000000000000005
540,3.0599999999999996,2.3225
542,1.4175,1.25
543,2.8325,2.0
550,5.755,5.8374999999999995
556,5.89,6.135
557,5.87,6.2825
568,6.13,7.5675
570,3.0475000000000003,2.5
574,4.575,3.4250000000000003
578,5.92,5.895
589,4.365,4.29
600,4.2725,4.295
605,4.1625,4.2675
606,4.47,5.0
608,6.2825,7.7749999999999995
610,6.1575,5.3225
611,4.5675,3.5475
627,5.7475,5.885
630,5.7275,5.6325
631,4.3999999999999995,4.465
640,5.9425,6.04
643,6.015,6.7975
644,5.9175,6.185
645,6.15,6.699999999999999
647,6.3475,7.795
652,4.5275,5.3925
662,6.0875,6.2925
669,4.355,4.3875
695,6.095000000000001,6.155
697,6.16,6.449999999999999
704,4.532500000000001,5.1775
706,6.1425,6.3175
708,5.785,5.77
713,5.932499999999999,6.1875
770,5.5200000000000005,5.3875
779,5.9375,6.2725
780,5.890000000000001,5.77
785,6.41,8.625
787,4.4475,4.49
788,6.1575,6.445
790,5.9,5.922499999999999
798,6.0975,6.055
801,6.075,6.385
813,2.875,3.0300000000000002
824,5.7575,5.932500000000001
827,6.1425,6.192500000000001
1847,4.5725,4.775
